Time,Pseudoproxy
6885,-3.8186096527834756
6915,-3.8186096527834756
6945,-3.8186096527834756
6975,-3.8186096527834756
7005,-3.8153354218050666
7035,-3.7909344216018788
7065,-3.7909344216018788
7095,-3.7924030273618463
7125,-3.8679231159642065
7155,-3.9664530506791422
7185,-3.8600933784227607
7215,-3.8324244394834928
7245,-3.8324244394834928
7275,-3.8324244394834928
7305,-3.8311495681787697
7335,-3.7981063066792693
7365,-3.7602216528318415
7395,-3.662234482172291
7425,-3.6595376666577053
7455,-3.6746443823216275
7485,-3.784846177908001
7515,-3.8877934533944902
7545,-3.757450841896695
7575,-3.728743030730435
7605,-3.728743030730435
7635,-3.728743030730435
7665,-3.728743030730435
7695,-3.7241115092974226
7725,-3.694657509782015
7755,-3.6595376666577053
7785,-3.6595376666577053
7815,-3.661720827028134
7845,-3.755575030256665
7875,-3.8912695716021197
7905,-3.7635461940432187
7935,-3.7179204883781267
7965,-3.7009828853405224
7995,-3.7009828853405224
8025,-3.7009828853405224
8055,-3.7009828853405224
8085,-3.7009828853405224
8115,-3.7009828853405224
8145,-3.7009828853405224
8175,-3.7265447729706835
8205,-3.8729718109533238
8235,-3.9711005236342984
8265,-3.832743146518215
8295,-3.77718040992146
8325,-3.77718040992146
8355,-3.77718040992146
8385,-3.77718040992146
8415,-3.77718040992146
8445,-3.775284875800761
8475,-3.7360406212312256
8505,-3.7358272736423785
8535,-3.736701986414385
8565,-3.816504842344237
8595,-3.9345721349044105
8625,-3.8104657546378675
8655,-3.7909344216018788
8685,-3.7909344216018788
8715,-3.7909344216018788
8745,-3.7909344216018788
8775,-3.7909344216018788
8805,-3.7909344216018788
8835,-3.7909344216018788
8865,-3.7909344216018788
8895,-3.7923391768465677
8925,-3.8649527901076013
8955,-3.9679741422877193
8985,-3.8636584595856007
9015,-3.8324244394834928
9045,-3.8324244394834928
9075,-3.8324244394834928
9105,-3.8324244394834928
9135,-3.8324244394834928
9165,-3.787869209445116
9195,-3.6745374285781303
9225,-3.673425080633777
9255,-3.718518313505662
9285,-3.87869801324916
9315,-3.9721566402387616
9345,-3.8096575900203185
9375,-3.756385058230947
9405,-3.756385058230947
9435,-3.756385058230947
9465,-3.756385058230947
9495,-3.756385058230947
9525,-3.756385058230947
9555,-3.756385058230947
9585,-3.756406374378834
9615,-3.7962975806827934
9645,-3.9201608800617613
9675,-4.020012647551436
9705,-3.879970313806588
9735,-3.8323819448860696
9765,-3.8323819448860696
9795,-3.8323819448860696
9825,-3.830958331525725
9855,-3.82545429954542
9885,-3.8226274042675783
9915,-3.7917645143995102
9945,-3.790976991176848
9975,-3.799936170126081
10005,-3.8822602818304937
10035,-3.9560140344902557
10065,-3.82568808770532
10095,-3.7909344216018788
10125,-3.7909344216018788
10155,-3.7909344216018788
10185,-3.7909344216018788
10215,-3.7909344216018788
10245,-3.7909344216018788
10275,-3.7909344216018788
10305,-3.7909344216018788
10335,-3.804148569986534
10365,-3.916053861727196
10395,-3.9869373284095104
10425,-3.85497824240133
10455,-3.832403192194377
10485,-3.832403192194377
