Time,Pseudoproxy,95% CI Lower Bound,95% CI Upper Bound
12435,-116.31000000000006,-142.98262712712716,-89.72833533533527
12465,-111.52899008115423,-138.3459235768682,-84.80351118025156
12495,-120.28759939984991,-146.84016969069592,-93.82558213802687
12525,-125.25397576621526,-151.65664472854903,-98.94134861989578
12555,-136.8271326303569,-162.8804862244948,-110.86262957152755
12585,-124.17634779338016,-150.61154305917006,-97.83130526903537
12615,-135.61010952974345,-161.70019682389798,-109.60899804493928
12645,-132.58515395683457,-158.7665442102535,-106.49305088599391
12675,-138.92040511727078,-164.91057696609198,-113.01886833315187
12705,-130.18268445839874,-156.43658902466044,-104.0183143724571
12735,-116.31000000000006,-142.98262712712716,-89.72833533533527
12765,-116.31000000000006,-142.98262712712716,-89.72833533533527
12795,-116.31000000000006,-142.98262712712716,-89.72833533533527
12825,-104.83350649350643,-131.85253137553127,-77.90662540462519
12855,-135.40742632612967,-161.50363125601044,-109.40021806875639
12885,-135.49038858743234,-161.5840894474907,-109.48567586017674
12915,-129.75693264248696,-156.0236877778787,-103.57975581209777
12945,-144.30525745497494,-170.13289701471476,-118.56569867118368
12975,-137.2770199304017,-163.3167944683057,-111.32604961874233
13005,-128.79149717514122,-155.08739228069868,-102.58527975150284
13035,-133.80297375444843,-159.94760626095413,-107.74750307447134
13065,-145.08130232558142,-170.88551833694163,-119.3650872081383
13095,-124.9295377438508,-151.3419992967947,-98.60715140288725
13125,-116.31000000000006,-142.98262712712716,-89.72833533533527
13155,-116.31000000000006,-142.98262712712716,-89.72833533533527
13185,-116.31000000000006,-142.98262712712716,-89.72833533533527
13215,-118.59343669250643,-145.1971423025093,-92.08045849984342
13245,-141.09998349834984,-167.02436861035955,-115.26400909655526
13275,-133.99122518643003,-160.1301756548325,-107.94141716693056
13305,-145.23335599861696,-171.03298253751038,-119.52171470202467
13335,-137.1226359030536,-163.16707025106723,-111.16702167277504
13365,-150.3345199337167,-175.9801768185966,-124.77632320379644
13395,-140.27865313081224,-166.22782865421232,-114.4179728611129
13425,-151.91765591397848,-177.51552862602276,-126.40708039709197
13455,-133.6826736566187,-159.83093720981805,-107.6235843130155
13485,-116.31000000000006,-142.98262712712716,-89.72833533533527
13515,-116.31000000000006,-142.98262712712716,-89.72833533533527
13545,-116.31000000000006,-142.98262712712716,-89.72833533533527
13575,-114.47661825726152,-141.20458278506734,-87.83980491071989
13605,-140.59012983091793,-166.52990397840477,-114.73881887533673
13635,-144.12070017546841,-169.9539102718216,-118.37558985243234
13665,-145.02404473020158,-170.82998896129016,-119.30610728682983
13695,-151.85557535641544,-177.45532186081195,-126.34313243742716
13725,-134.13850234842016,-160.27300751493382,-108.09312447086279
13755,-140.47434235712342,-166.41761134569086,-114.61954847902325
13785,-151.37393669193045,-176.98822061160575,-125.8470059350477
